Nitric Acid Outdoors
37.5071
-122.6933
2/5/09	10:39:00	2/3/09	13:17:00	-122.694348	37.503721	CC Purchase from Company NA Inc.	MASINT
2/5/09	16:49:00	2/3/09	13:25:00	-122.693104	37.509735	Procurement Personnel	BioMetric
2/6/09	10:49:00	2/3/09	16:45:00	-122.694443	37.508764	7 Gal Black Plastic Jugs	IMINT
2/5/09	19:44:00	2/4/09	11:37:00	-122.690172	37.506441	CC Purchase from Company UF Inc.	MASINT
2/8/09	4:53:00	2/6/09	8:00:00	-122.694896	37.507060	HME Personnel	BioMetric
2/8/09	4:45:00	2/6/09	10:00:00	-122.693995	37.507353	Pump from Well	IMINT
2/7/09	20:57:00	2/6/09	10:15:00	-122.693113	37.505572	Fill Jugs	IMINT
2/7/09	16:53:00	2/6/09	12:00:00	-122.696049	37.510233	Propane Burner	IMINT
2/8/09	3:15:00	2/6/09	13:00:00	-122.689957	37.508670	Urea Chemical Signature	MASINT
2/6/09	22:13:00	2/6/09	13:00:00	-122.693047	37.510107	Large Plastic Barrel	IMINT
2/6/09	20:39:00	2/6/09	13:30:00	-122.690701	37.506490	7 Gal Black Plastic Jugs	IMINT
2/7/09	23:03:00	2/6/09	14:15:00	-122.696236	37.505893	Mixing Devices	IMINT
2/10/09	6:44:00	2/7/09	13:30:00	-122.694643	37.506552	Tarps	IMINT
2/8/09	0:02:00	2/7/09	14:30:00	-122.695786	37.509155	HME Personnel	BioMetric
2/8/09	20:38:00	2/7/09	23:00:00	-122.693309	37.504119	UN Chemical Signature	MASINT
2/9/09	23:45:00	2/7/09	23:00:00	-122.694799	37.508767	Mixing Devices	MASINT
2/9/09	2:36:00	2/7/09	23:30:00	-122.691910	37.504167	Security Personnel	BioMetric
2/9/09	23:20:00	2/9/09	12:00:00	-122.696134	37.505963	Full Fertilizer bags	IMINT
2/9/09	17:56:00	2/9/09	13:40:00	-122.695150	37.507334	Empty Plastic barrel	IMINT
2/10/09	8:49:00	2/10/09	8:00:00	-122.691700	37.508470	Buried Item	IMINT
